#,Reference,Quantity,Value,Footprint,Manufacturer,MPN,Description,Sourced MFR,Sourced MPN,Supplier,SKU,Order QTY,Order #,Tracking #,Status,Remarks
1,C1 C2 C3 C4 C5 C6,6,C_47u_16V_1206,1206-cap,TDK,C3216X5R1C476M160AB,Cap Ceramic 47uF 16V X5R 20% SMD 1206 85°C Embossed T/R,Murata,GRM31CR61C476ME44L,Digi-Key,490-GRM31CR61C476ME44LCT-ND,60,75227133,1ZWA47970437706567,ARRIVED,
2,C10 C12,2,C_47p_0402,0402-cap,KEMET,C0402C470J5GACTU,Cap Ceramic 47pF 50V C0G 5% Pad SMD 0402 125°C Extreme Low ESR T/R,KEMET,C0402C470J5GACTU,Farnell,1414592,20,87862237,1Z60699Y0417562445,ARRIVED,
3,C102 C105,2,C_330u_KEMET_D,KEMET_D,KEMET,T520D337M006ATE045,Cap Tant Polymer 330uF 6.3VDC D CASE 20% (7.3 X 4.3 X 2.8mm) SMD 7343-31 0.045 Ohm 105C T/R,KEMET,T520D337M006ATE045,Farnell,2521334,20,87862237,1Z60699Y0417562445,ARRIVED,
4,C112,1,C_100u_KEMET_A,KEMET_A,VISHAY,298D107X06R3A2T,Cap Tant Solid 100uF 6.3V A CASE 20% (3.2 X 1.6 X 1.8mm) Inward L SMD 1 Ohm 125C T/R,VISHAY,298D107X06R3A2T,Farnell,1961933,10,87862237,1Z60699Y0417562445,ARRIVED,
5,C129,1,C_100n_0402_16V,0402-cap,MULTICOMP,MC0402B104K160CT,Cap Ceramic 0.1uF 16V X7R 10% Pad SMD 0402 125C T/R,MULTICOMP,MC0402B104K160CT,Farnell,1758896,10,87862237,1Z60699Y0417562445,ARRIVED,
6,C13 C14 C43 C148 C149 C154 C156 C157 C158 C159 C160 C161 C162 C165 C166 C167 C168 C169 C170 C171 C172 C173 C174 C175 C176,25,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,"Multilayer Ceramic Capacitor, 0.1 F, 10%, X5R, 6.3 V, 0402 [1005 Metric] Rohs Compliant: Yes",Walsin,0402X104K6R3CT,Farnell,2496812,260,87862237,1Z60699Y0417562445,ARRIVED,
7,C146 C147,2,C_22p_0402,0402-cap,YAGEO,CC0402JRNPO9BN220,0402 22 pF 50 V ±5 % Tolerance NP0 SMT Multilayer Ceramic Capacitor,YAGEO,CC0402JRNPO9BN220,Farnell,3019184,20,87862237,1Z60699Y0417562445,ARRIVED,
8,C15 C16 C17 C18 C19 C20 C44 C49 C53 C60 C64 C103 C119 C120 C121 C164,16,C_47u_0603,0603-cap,MURATA,GRM188R60J476ME15D,0603 6.3 V 47 uF ±20% Tolerance X5R SMT Multilayer Ceramic Chp Capacitor,MURATA,GRM188R60J476ME15D,Mouser,81-GRM188R60J476ME5D,160,259902322,576339098808,ARRIVED,
9,C151 C153,2,C_18p_0402,0402-cap,MULTICOMP,MC0402N180J500CT,Cap Ceramic 18pF 50V C0G ±5% SMD 0402 125°C T/R,MULTICOMP,MC0402N180J500CT,Farnell,1758947,20,87862237,1Z60699Y0417562445,ARRIVED,
10,C163,1,C_1u_0603,0603-cap,WALSIN,0603YD105KAT2A,Cap Ceramic 1uF 16V X5R 10% SMD 0603 85°C Paper T/R,WALSIN,0603YD105KAT2A,Farnell,1327680,10,87862237,1Z60699Y0417562445,ARRIVED,
11,C21 C22 C23 C24 C25 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40,15,C_10u_0402,0402-cap,MURATA,GRM155R60J106ME44D,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10UF 6.3V 20% 0402,MURATA,GRM155R60J106ME44D,Farnell,2218854,150,87862237,1Z60699Y0417562445,ARRIVED,
12,C26 C27 C28 C29 C30,5,C_120p_0402,0402-res,KEMET,C0402C121J5GACTU,Cap Ceramic 120pF 50V C0G 5% SMD 0402 125°C Paper T/R,KEMET,C0402C121J5GACTU,Farnell,1572618,50,87862237,1Z60699Y0417562445,ARRIVED,
13,C41,1,C_10n_0603,0603-cap,AVX,06031C103JAT2A,"Cap MLCC SMD 0603 100V X7R 10000pF ±5% Commercial Ti/Sn Plated 7T/R""",AVX,06031C103JAT2A,Farnell,1833876,10,87862237,1Z60699Y0417562445,ARRIVED,
